locid,label,x_pct,y_pct,w_pct,h_pct,rotation_deg
Layer 2 copy,Layer 2 copy,-0.0122,0,1,1,0
Layer 2,Layer 2,0,0,1,1,0
Layer 2 copy 10,Layer 2 copy 10,-0.0392,0.0013,1,1,0
rd26,rd26,0.2383,0.0066,0.0174,0.0097,0
rd25,rd25,0.254,0.0066,0.0174,0.0097,0
rd24,rd24,0.2697,0.0066,0.0174,0.0097,0
Layer 2 copy 9,Layer 2 copy 9,-0.0388,0.0075,1,1,0
Layer 2 copy 8,Layer 2 copy 8,-0.0397,0.0142,1,1,0
Layer 2 copy 6,Layer 2 copy 6,-0.0292,0.0208,1,1,0
Layer 2 copy 5,Layer 2 copy 5,-0.0214,0.0208,1,1,0
Layer 2 copy 4,Layer 2 copy 4,-0.0139,0.0208,1,1,0
Layer 2 copy 3,Layer 2 copy 3,-0.0078,0.0208,1,1,0
Layer 2 copy 2,Layer 2 copy 2,-0.0022,0.0208,1,1,0
Layer 2 copy 7,Layer 2 copy 7,-0.0405,0.0235,1,1,0
r14g2,r14g2,0.3089,0.0487,0.0174,0.0097,0
r13g2,r13g2,0.3499,0.0487,0.0174,0.0097,0
r12g2,r12g2,0.3908,0.0487,0.0174,0.0097,0
r11g2,r11g2,0.4305,0.0487,0.0174,0.0097,0
r14s3,r14s3,0.3059,0.0496,0.0048,0.0097,0
r14s4,r14s4,0.3251,0.0496,0.0048,0.0097,0
r13s3,r13s3,0.3468,0.0496,0.0048,0.0097,0
r13s4,r13s4,0.366,0.0496,0.0048,0.0097,0
r12s3,r12s3,0.3878,0.0496,0.0048,0.0097,0
r12s4,r12s4,0.407,0.0496,0.0048,0.0097,0
r11s3,r11s3,0.4275,0.0496,0.0048,0.0097,0
r11s4,r11s4,0.4466,0.0496,0.0048,0.0097,0
rd29,rd29,0.0492,0.0518,0.0222,0.0097,0
rd28,rd28,0.0702,0.0518,0.0227,0.0097,0
rd27,rd27,0.0915,0.0518,0.0222,0.0097,0
rd30,rd30,0.041,0.0522,0.0096,0.0243,0
r14b5,r14b5,0.3085,0.0571,0.0096,0.0221,0
r14b10,r14b10,0.3172,0.0571,0.0096,0.0221,0
r13b5,r13b5,0.3495,0.0571,0.0096,0.0221,0
r13b10,r13b10,0.3582,0.0571,0.0096,0.0221,0
r12b5,r12b5,0.3904,0.0571,0.0096,0.0221,0
r12b10,r12b10,0.3991,0.0571,0.0096,0.0221,0
r11b5,r11b5,0.4301,0.0571,0.0096,0.0221,0
r11b10,r11b10,0.4388,0.0571,0.0096,0.0221,0
c49,c49,0.5948,0.0717,0.0157,0.0111,0
c48,c48,0.6087,0.0717,0.0157,0.0111,0
c46,c46,0.6357,0.0717,0.0157,0.0111,0
c45,c45,0.6497,0.0717,0.0157,0.0111,0
c44,c44,0.6627,0.0717,0.0157,0.0106,0
c51,c51,0.5673,0.0721,0.0157,0.0106,0
c50,c50,0.5817,0.0721,0.0153,0.0111,0
c47,c47,0.6227,0.0721,0.0157,0.0111,0
f78,f78,0.5355,0.0726,0.0331,0.015,0
c43,c43,0.6776,0.0739,0.017,0.0146,157
rd31,rd31,0.041,0.0752,0.0096,0.0243,0
p124,p124,0.2174,0.0761,0.0209,0.015,0
p123,p123,0.2366,0.0761,0.0209,0.015,0
r14b4,r14b4,0.3085,0.0779,0.0096,0.0221,0
r14b9,r14b9,0.3172,0.0779,0.0096,0.0221,0
r13b4,r13b4,0.3495,0.0779,0.0096,0.0221,0
r13b9,r13b9,0.3582,0.0779,0.0096,0.0221,0
r12b4,r12b4,0.3904,0.0779,0.0096,0.0221,0
r12b9,r12b9,0.3991,0.0779,0.0096,0.0221,0
r11b4,r11b4,0.4301,0.0779,0.0096,0.0221,0
r11b9,r11b9,0.4388,0.0779,0.0096,0.0221,0
c42,c42,0.6893,0.0792,0.0166,0.0142,157
c41,c41,0.7007,0.0832,0.0166,0.0146,157
